CustomerID,Attrition_Flag,Customer_Age,Age Category,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Number of Products,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Credit Limit Category,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Utilization ratio category
720572508,Existing Customer,38,35-45,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830,5000-10000,2055,7775,0.977,1042,23,0.917,0.209,Very Good
712661433,Existing Customer,49,>45,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516,>30000,0,34516,1.621,1444,28,1.333,0,Exceptional
789172683,Existing Customer,56,>45,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283,<5000,1430,853,2.316,1741,27,0.588,0.626,Fair
738406533,Existing Customer,59,>45,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548,<5000,2020,528,2.357,1719,27,1.7,0.793,Fair
799723908,Existing Customer,46,>45,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458,15000-20000,1435,18023,0.787,1217,27,0.8,0.074,Exceptional
771490833,Existing Customer,52,>45,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745,<5000,1227,3518,0.624,1140,40,0.6,0.259,Very Good
720756708,Existing Customer,52,>45,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622,<5000,1549,1073,1.321,1878,30,1.143,0.591,Good
779471883,Attrited Customer,54,>45,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,<5000,808,630.3,0.997,705,19,0.9,0.562,Good
711525033,Existing Customer,66,>45,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171,<5000,2179,992,1.224,1946,38,1.923,0.687,Fair
712813458,Existing Customer,49,>45,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763,15000-20000,2517,17246,0.664,1414,35,0.25,0.127,Exceptional
714374133,Attrited Customer,56,>45,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769,15000-20000,0,15769,1.041,602,15,0.364,0,Exceptional
717891558,Existing Customer,49,>45,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298,<5000,2200,1098,0.678,1052,32,0.6,0.667,Fair
716632758,Existing Customer,49,>45,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802,<5000,2363,439,0.75,1295,40,0.6,0.843,Poor
768563658,Existing Customer,56,>45,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458,<5000,1880,2578,1.107,1424,29,1.417,0.422,Good
711427458,Existing Customer,44,35-45,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273,5000-10000,978,5295,2.275,1359,25,1.083,0.156,Exceptional
714091983,Existing Customer,42,35-45,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336,<5000,1753,1583,0.69,1168,27,1.25,0.525,Good
787584108,Existing Customer,55,>45,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436,<5000,2016,1420,0.901,1097,33,0.833,0.587,Good
712030833,Attrited Customer,48,>45,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516,>30000,0,34516,0.763,691,15,0.5,0,Exceptional
711481533,Existing Customer,39,35-45,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926,5000-10000,1251,4675,0.944,1316,28,1.154,0.211,Very Good
710082708,Existing Customer,44,35-45,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957,20000-25000,2102,21855,0.997,1276,26,0.733,0.088,Exceptional
708155733,Existing Customer,53,>45,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734,10000-15000,1634,13100,0.989,1289,23,0.917,0.111,Exceptional
788979258,Existing Customer,51,>45,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516,>30000,1515,33001,0.592,1293,32,0.6,0.044,Exceptional
807986133,Existing Customer,57,>45,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584,5000-10000,1817,4767,0.62,1353,35,0.667,0.276,Very Good
788730933,Existing Customer,44,35-45,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084,<5000,1468,616,1.004,1132,28,0.556,0.704,Fair
711314058,Existing Customer,49,>45,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687,<5000,1107,580,1.715,1670,17,2.4,0.656,Fair
717975333,Existing Customer,50,>45,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300,25000-30000,1330,23970,1.072,837,15,2,0.053,Exceptional
715971108,Existing Customer,51,>45,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516,>30000,1763,32753,1.266,1550,41,1.05,0.051,Exceptional
720096558,Existing Customer,55,>45,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216,<5000,1034,1182,0.758,1540,36,0.286,0.467,Good
719580033,Existing Customer,54,>45,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910,<5000,2030,880,0.769,1256,21,0.4,0.698,Fair
820582308,Existing Customer,42,35-45,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913,20000-25000,1528,21385,0.414,1394,35,0.522,0.067,Exceptional
789973308,Existing Customer,44,35-45,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312,20000-25000,1932,22380,1.312,1341,24,1.182,0.079,Exceptional
712876233,Existing Customer,53,>45,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272,5000-10000,1515,3757,0.857,1289,33,0.435,0.287,Very Good
804595158,Existing Customer,44,35-45,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000,5000-10000,2517,4483,0.475,1112,23,1.875,0.36,Very Good
714826758,Existing Customer,37,35-45,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038,5000-10000,1801,5237,0.751,2339,57,0.966,0.256,Very Good
779058108,Existing Customer,49,>45,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536,<5000,1823,713,0.703,1468,23,0.353,0.719,Fair
710790258,Existing Customer,47,>45,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904,25000-30000,1899,27005,0.85,1334,35,0.4,0.066,Exceptional
715623483,Existing Customer,47,>45,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567,5000-10000,1695,6872,1.242,1457,41,1.412,0.198,Exceptional
715156383,Existing Customer,44,35-45,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516,>30000,1533,32983,0.924,1603,29,0.526,0.044,Exceptional
711013983,Attrited Customer,55,>45,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158,<5000,0,2158,0.585,615,12,0.714,0,Exceptional
755420433,Existing Customer,59,>45,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133,10000-15000,1417,8716,0.383,1068,20,0.818,0.14,Exceptional
794543958,Existing Customer,53,>45,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516,>30000,1219,33297,1.129,1590,27,2,0.035,Exceptional
716396358,Existing Customer,52,>45,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085,<5000,1910,1175,0.921,1531,35,0.667,0.619,Fair
715398033,Existing Customer,53,>45,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040,15000-20000,2056,16984,0.607,1212,31,0.722,0.108,Exceptional
711743883,Existing Customer,43,35-45,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026,<5000,0,4026,0.483,1237,32,0.6,0,Exceptional
719720058,Existing Customer,44,35-45,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756,10000-15000,837,11919,1.932,1413,14,1.8,0.066,Exceptional
778992108,Existing Customer,57,>45,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266,5000-10000,0,5266,1.702,1516,29,1.636,0,Exceptional
717539808,Existing Customer,51,>45,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930,5000-10000,0,9930,0.731,1276,21,1.333,0,Exceptional
714070758,Existing Customer,49,>45,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302,>30000,1953,29349,0.875,1564,35,2.182,0.062,Exceptional
714107958,Existing Customer,45,35-45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576,5000-10000,0,6576,0.579,1465,34,0.619,0,Exceptional
789140283,Existing Customer,53,>45,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664,<5000,2037,627,0.85,1286,29,0.933,0.765,Fair
715550508,Existing Customer,45,35-45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535,<5000,2440,95,1.705,1312,20,1.222,0.963,Poor
719712633,Existing Customer,64,>45,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709,<5000,895,814,1.656,1673,32,0.882,0.524,Good
772629333,Existing Customer,45,35-45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454,<5000,1200,2254,0.597,1313,30,0.304,0.347,Very Good
720336708,Existing Customer,53,>45,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789,<5000,1706,2083,1.047,1609,42,0.68,0.45,Good
802013583,Existing Customer,56,>45,M,3,College,Married,$120K +,Blue,50,3,2,0,9689,5000-10000,2250,7439,0.576,1158,19,0.727,0.232,Very Good
711887583,Attrited Customer,47,>45,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449,5000-10000,1628,3821,0.696,836,18,0.385,0.299,Very Good
714778833,Existing Customer,49,>45,F,3,College,Single,Unknown,Blue,43,4,4,0,23032,20000-25000,1960,21072,0.619,1289,22,1,0.085,Exceptional
713843283,Existing Customer,41,35-45,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516,>30000,2053,32463,1.034,1487,26,0.733,0.059,Exceptional
779155158,Existing Customer,53,>45,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940,<5000,1264,1676,0.562,1259,33,0.5,0.43,Good
721091583,Existing Customer,44,35-45,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031,<5000,1879,1152,0.788,1298,15,1.5,0.62,Fair
713572683,Existing Customer,44,35-45,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862,<5000,0,1862,0.883,1226,34,0.789,0,Exceptional
716657058,Existing Customer,43,35-45,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358,5000-10000,926,7432,0.762,1566,37,0.542,0.111,Exceptional
779509983,Existing Customer,53,>45,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516,>30000,931,33585,0.828,1022,21,1.1,0.027,Exceptional
717929133,Existing Customer,44,35-45,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450,10000-15000,2440,12010,1.283,1235,30,0.667,0.169,Exceptional
808284783,Existing Customer,62,>45,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,<5000,0,1438.3,0.813,1951,44,1.095,0,Exceptional
708476808,Existing Customer,54,>45,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791,>30000,1960,31831,0.618,1047,31,0.824,0.058,Exceptional
710916408,Existing Customer,57,>45,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466,5000-10000,1886,6580,0.56,1342,32,0.391,0.223,Very Good
708492558,Existing Customer,42,35-45,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088,15000-20000,865,14223,0.939,1107,21,1.625,0.057,Exceptional
799825758,Existing Customer,42,35-45,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263,<5000,1674,1589,0.588,1251,35,0.346,0.513,Good
718619883,Existing Customer,54,>45,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494,<5000,706,788,1.674,1305,24,3,0.473,Good
711844758,Existing Customer,48,>45,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551,10000-15000,1294,12257,0.791,1388,37,1.056,0.095,Exceptional
714798783,Existing Customer,49,>45,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886,15000-20000,895,17991,1.826,1235,18,1.571,0.047,Exceptional
826762908,Existing Customer,52,>45,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976,10000-15000,1273,10703,1.024,2089,36,1.118,0.106,Exceptional
771894558,Existing Customer,50,>45,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964,5000-10000,1559,8405,1.873,1626,25,0.786,0.156,Exceptional
721074183,Existing Customer,49,>45,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159,20000-25000,1196,22963,0.712,1111,24,1,0.05,Exceptional
715259583,Existing Customer,53,>45,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362,5000-10000,1901,3461,0.816,1553,38,1,0.355,Very Good
718414008,Existing Customer,50,>45,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516,>30000,1023,33493,1.004,1064,13,0.625,0.03,Exceptional
719666283,Existing Customer,55,>45,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174,<5000,1951,1223,0.766,1243,29,0.611,0.615,Fair
714877233,Existing Customer,53,>45,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262,10000-15000,1836,10426,1.584,1659,38,1.533,0.15,Exceptional
785387883,Existing Customer,47,>45,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788,<5000,1540,2248,0.566,1594,47,0.382,0.407,Good
771075258,Existing Customer,55,>45,M,2,College,Single,$120K +,Silver,42,2,3,2,34516,>30000,1527,32989,0.526,1268,42,0.355,0.044,Exceptional
711318033,Existing Customer,47,>45,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926,<5000,0,2926,0.676,1304,24,0.846,0,Exceptional
783554958,Existing Customer,58,>45,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090,>30000,0,32090,0.567,1368,30,0.364,0,Exceptional
720201033,Attrited Customer,53,>45,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669,10000-15000,2227,9442,0.622,720,23,0.353,0.191,Exceptional
718039683,Existing Customer,52,>45,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532,10000-15000,1300,12232,0.846,1521,29,1.417,0.096,Exceptional
710806083,Existing Customer,50,>45,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888,10000-15000,2090,9798,0.7,1137,30,0.765,0.176,Exceptional
714752208,Existing Customer,42,35-45,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393,<5000,1985,408,0.788,978,16,0.778,0.83,Poor
822063408,Existing Customer,43,35-45,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111,5000-10000,2517,3594,0.632,1221,16,2.2,0.412,Good
714490308,Existing Customer,57,>45,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270,15000-20000,1662,17608,1.186,1565,28,1.545,0.086,Exceptional
713356833,Existing Customer,52,>45,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710,<5000,2517,1193,1.541,1578,34,0.7,0.678,Fair
711402333,Existing Customer,47,>45,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235,<5000,797,2438,0.541,1493,32,1,0.246,Very Good
708296883,Existing Customer,44,35-45,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749,10000-15000,788,10961,0.688,1178,27,0.929,0.067,Exceptional
719154483,Existing Customer,53,>45,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753,5000-10000,2100,5653,0.839,991,26,0.733,0.271,Very Good
717721458,Existing Customer,45,35-45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1,0,10408,10000-15000,1186,9222,1.689,2560,42,1.211,0.114,Exceptional
711112683,Existing Customer,63,>45,F,1,College,Married,Unknown,Blue,36,6,2,3,3967,<5000,1568,2399,1.236,1657,29,1.231,0.395,Very Good
715674483,Existing Customer,39,35-45,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205,5000-10000,2517,3688,0.939,1204,19,0.727,0.406,Good
789322833,Attrited Customer,48,>45,F,5,High School,Married,Less than $40K,Blue,38,1,3,3,8025,5000-10000,0,8025,0.654,673,18,0.8,0,Exceptional
789968058,Existing Customer,51,>45,M,1,Unknown,Single,$120K +,Blue,42,6,2,3,9036,5000-10000,2327,6709,0.649,1131,18,0.636,0.258,Very Good
709919283,Existing Customer,54,>45,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926,10000-15000,2517,12409,1.996,1576,25,1.5,0.169,Exceptional
718744008,Existing Customer,59,>45,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335,5000-10000,1128,5207,0.397,1217,20,0.667,0.178,Exceptional
767712558,Attrited Customer,59,>45,M,1,College,Single,$60K - $80K,Blue,53,2,3,3,14979,10000-15000,0,14979,0.71,530,10,1,0,Exceptional
712950783,Attrited Customer,48,>45,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732,<5000,0,2732,0.76,739,16,0.455,0,Exceptional
716104983,Existing Customer,41,35-45,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250,<5000,2117,133,1.162,1617,31,2.875,0.941,Poor
818839983,Existing Customer,55,>45,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916,10000-15000,1536,9380,1.317,1592,34,1,0.141,Exceptional
772288758,Existing Customer,47,>45,F,4,Graduate,Married,Unknown,Blue,36,4,1,3,5349,5000-10000,1228,4121,0.728,1343,30,1.308,0.23,Very Good
712350858,Existing Customer,41,35-45,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,9366,5000-10000,1104,8262,0.572,1303,39,0.625,0.118,Exceptional
711009708,Existing Customer,40,35-45,M,3,High School,Single,$80K - $120K,Blue,28,5,1,0,21617,20000-25000,0,21617,1.047,1351,22,0.467,0,Exceptional
712720158,Existing Customer,68,>45,M,1,Graduate,Married,Unknown,Blue,56,5,2,3,13860,10000-15000,1652,12208,1.255,1910,32,1.909,0.119,Exceptional
712215258,Existing Customer,50,>45,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386,15000-20000,0,18386,0.868,1298,22,0.571,0,Exceptional
773827008,Existing Customer,47,>45,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405,<5000,1540,865,0.469,1087,29,1.231,0.64,Fair
795232683,Existing Customer,53,>45,F,1,College,Married,Less than $40K,Blue,47,4,2,3,2154,<5000,930,1224,2.121,1439,26,1.364,0.432,Good
713786508,Existing Customer,42,35-45,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,3,2038,<5000,0,2038,0.786,1238,28,0.75,0,Exceptional
713539833,Existing Customer,48,>45,F,4,High School,Single,$40K - $60K,Blue,38,6,1,3,8135,5000-10000,0,8135,1.373,1716,29,0.812,0,Exceptional
712454058,Existing Customer,49,>45,M,1,Doctorate,Married,$120K +,Blue,38,6,1,3,9364,5000-10000,618,8746,0.554,1099,27,0.8,0.066,Exceptional
718759833,Existing Customer,44,35-45,F,2,Uneducated,Married,Unknown,Silver,35,4,3,2,32643,>30000,0,32643,1.3,1058,24,2.429,0,Exceptional
718803333,Existing Customer,43,35-45,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,3195,<5000,1954,1241,0.971,1285,29,0.706,0.612,Fair
720253908,Existing Customer,56,>45,M,0,High School,Married,$80K - $120K,Blue,43,5,2,1,2852,<5000,1024,1828,1.009,1651,28,1,0.359,Very Good
714133158,Existing Customer,59,>45,F,1,College,Single,Unknown,Blue,36,2,3,3,4224,<5000,1305,2919,0.852,1152,31,0.824,0.309,Very Good
713187033,Existing Customer,46,>45,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,20459,20000-25000,2071,18388,1.248,1767,38,2.167,0.101,Exceptional
